AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
31851,Dog Days'': Limone Resort Tenbou Onsen!,Special,1,Aug 2015,Aug 2015,9201,6.46
31070,Etotama Specials,Special,6,May 2015,Jul 2015,8364,6.46
36729,Fate/Apocrypha Recaps,TV,N/A,Sep 2017,Nov 2017,18222,6.46
3355,Fortune Dogs,TV,39,Jul 2002,Mar 2003,1706,6.46
58717,Garouden: The Way of the Lone Wolf,ONA,8,May 2024,May 2024,9385,6.46
4361,Grenadier: Hohoemi no Senshi Specials,Special,6,Jan 2005,Jun 2005,6724,6.46
35237,Hajimete no Gal: Hajimete no Bunkasai,OVA,1,Dec 2017,Dec 2017,74774,6.46
4211,Hareluya II Boy,TV,25,Apr 1997,Sep 1997,3340,6.46
57891,Hitoribocchi no Isekai Kouryaku,TV,12,Oct 2024,N/A,56662,6.46
1694,iDOLM@STER Xenoglossia,TV,26,Apr 2007,Sep 2007,23843,6.46
52992,Aikatsu Planet! Movie,Movie,1,Jul 2022,Jul 2022,1113,6.45
40613,Altered Carbon: Resleeved,ONA,1,Mar 2020,Mar 2020,10414,6.45
1185,Battle Athletess Daiundoukai,OVA,6,May 1997,Jun 1998,6339,6.45
2495,Chance Triangle Session,TV,13,May 2001,Aug 2001,6206,6.45
706,Comic Party Revolution,TV,13,Apr 2005,Jun 2005,10578,6.45
15325,"Dakara Boku wa, H ga Dekinai. Recap",TV,N/A,Aug 2012,Aug 2012,27207,6.45
29413,Dog Days Recap,TV,N/A,Jan 2015,Jan 2015,5742,6.45
9493,Dororon Enma-kun Meeramera,TV,12,Apr 2011,Jun 2011,18876,6.45
1189,Eden's Bowy,TV,26,Apr 1999,Sep 1999,7356,6.45
49163,Exception,ONA,8,Oct 2022,Oct 2022,8551,6.45
50657,Feng Qi Luoyang: Shen Ji Shaonian,ONA,16,Dec 2021,Mar 2022,805,6.45
21373,Freezing Vibration Specials,Special,6,Dec 2013,May 2014,27920,6.45
850,Gakuen Heaven,TV,13,Apr 2006,Jun 2006,69184,6.45
40358,Gal to Kyouryuu,TV,12,Apr 2020,Dec 2020,33795,6.45
3154,Gatchaman,OVA,3,Oct 1994,Apr 1995,5831,6.45
2067,Gekiganger 3: The Movie,OVA,1,Feb 1998,Feb 1998,5072,6.45
38681,God Eater 3,ONA,1,Nov 2018,Nov 2018,5864,6.45
3481,Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu,Movie,1,Jul 1976,Jul 1976,2973,6.45
38601,Hangyakusei Million Arthur: Saraba Itoshi no Danchou,Special,1,Oct 2019,Oct 2019,4962,6.45
18247,IS: Infinite Stratos 2,TV,12,Oct 2013,Dec 2013,400891,6.45
52593,JoJo no Kimyou na Bouken: The Real 4-D Dio no Sekai,Special,1,Jun 2017,Jun 2017,2323,6.45
